order_id,order_date,phone_brand,phone_model,quantity,price_per_unit,total_price,payment_method,store_location
d8a5a220-2bc9-4dac-86b5-3cc987fd91d2,2024-08-09,Xiaomi,Redmi Note 9,1,3999000,3999000,Debit Card,Jakarta
7c45bb2f-45a5-4ef0-8c7b-483feb213f17,2023-12-31,Samsung,Galaxy M31,3,4999000,14997000,Cash,Bandung
c0afd483-8459-4234-9f39-11e98fb2bf47,2024-05-18,Apple,iPhone XS,2,13999000,27998000,Debit Card,Surabaya
a9510e7b-5e3e-4387-8d85-1d3105394016,2024-05-13,Samsung,Galaxy M21,2,5999000,11998000,E-Wallet,Medan
a7ba133b-56e7-495f-9f94-c5eb280ab88d,2024-01-17,Xiaomi,Redmi 9A,3,3999000,11997000,Cash,Jakarta
ff717c0e-9b44-49a7-8d7a-564e1515bdff,2024-04-22,Xiaomi,Mi 10,2,9999000,19998000,Debit Card,Bandung
66b5bf34-03b5-4fc5-bbf0-02c805909a85,2024-02-07,Xiaomi,Mi 11,1,8999000,8999000,Cash,Bandung
a6979c3a-4c07-45ce-b606-5eac53c749ad,2024-04-28,Xiaomi,Mi 10,3,9999000,29997000,Credit Card,Jakarta
4b961e4f-2333-405f-885c-74bd3363c1d8,2023-12-19,Apple,iPhone XR,1,9999000,9999000,E-Wallet,Bekasi
d0ea1987-6c99-4d2d-9912-889f2601eba3,2024-10-02,Samsung,Galaxy A72,3,8999000,26997000,Debit Card,Jakarta
edd45dde-f655-4973-b88c-fc80899c6d40,2023-11-25,Samsung,Galaxy A72,3,8999000,26997000,Cash,Bandung
eb7c0dbe-1c31-4543-bb27-befe624f1cc0,2024-04-02,Apple,iPhone XR,1,9999000,9999000,Debit Card,Jakarta
9327a1e2-4105-444b-b2cc-f21c1b112975,2024-08-29,Xiaomi,Redmi Note 11,1,4999000,4999000,Credit Card,Jakarta
916f19af-9b6b-48ca-9bff-4b3b520a4cca,2023-12-04,Asus,ROG Phone 5,2,13999000,27998000,Cash,Bandung
dc5cba4e-0fff-455e-9c28-79669d4d4976,2024-09-20,Vivo,X50,2,9999000,19998000,Cash,Batam
53a1a7aa-fd6c-4b1c-a178-e56ec7159784,2023-11-29,Xiaomi,Redmi Note 11,2,4999000,9998000,Credit Card,Surabaya
f163f367-c10c-4761-b1a6-7a8af46637dc,2024-08-03,Asus,ROG Phone 5,1,13999000,13999000,Credit Card,Jakarta
02e2bd4b-228d-4cdc-ada4-6fc44664bd29,2024-03-07,Xiaomi,Poco X3 Pro,3,4499000,13497000,E-Wallet,Surabaya
46735c16-3af1-45bd-8190-e1c5318521e0,2024-08-15,Xiaomi,Redmi 9A,2,3999000,7998000,Cash,Jakarta
8101daa7-52e3-494e-845a-c8f923985700,2024-04-01,Apple,iPhone XR,2,9999000,19998000,Cash,Surabaya
e0416bfe-fdd1-4ef0-9e09-ac7a4fafad3b,2024-02-25,Xiaomi,Redmi 9A,1,3999000,3999000,Cash,Surabaya
e7bd87d4-230d-4f35-8141-524dfe60b64b,2024-08-17,Xiaomi,Redmi Note 11,1,4999000,4999000,Debit Card,Jakarta
579392d3-53b7-4ce8-bfb8-b2bcf2fa0f46,2023-10-15,Samsung,Galaxy A42,3,7499000,22497000,Credit Card,Surabaya
48e7c08b-9680-462f-b14a-99c5b279aca6,2024-08-11,Apple,iPhone XS,3,13999000,41997000,Cash,Bandung
05d29d46-9533-410a-a0ec-660188353573,2023-11-11,Apple,iPhone XS,3,13999000,41997000,Debit Card,Bekasi
e5f4c6a6-31c3-41b0-9bd4-132102bdf8b0,2024-01-10,Apple,iPhone XR,2,9999000,19998000,Credit Card,Bekasi
01309df7-e6b7-44f2-854b-a17efcaf52a8,2024-09-11,Xiaomi,Poco X3 Pro,1,4499000,4499000,E-Wallet,Denpasar
a54862ca-a702-4002-97c2-a01908b2edc0,2024-06-14,Apple,iPhone 11,2,10999000,21998000,Cash,Bandung
435882b4-ea37-4b63-bd74-0cf2cfef456d,2024-03-31,Apple,iPhone XR,1,9999000,9999000,Debit Card,Jakarta
d73d0d8b-0da7-4469-9cb9-22ce56c56043,2024-09-13,Realme,C11,1,3499000,3499000,E-Wallet,Pekanbaru
b3332404-c8c2-4ce2-82b1-fbfac2374f4b,2023-10-13,Apple,iPhone SE (2020),2,7499000,14998000,Cash,Jakarta
6cf17c86-a70b-48fc-9a0e-19e2762fced1,2024-07-23,Vivo,Y20,1,4499000,4499000,E-Wallet,Medan
46eb85c9-9295-4b45-b697-22bae259cac7,2024-09-06,Asus,Zenfone 8,1,10999000,10999000,Debit Card,Jakarta
85e67f50-197f-4941-91b0-744cceeb8949,2024-06-03,Apple,iPhone 13,1,14999000,14999000,Credit Card,Medan
2bc563b5-2805-4834-aebc-6dca2157f67f,2024-07-14,Samsung,Galaxy M31,1,4999000,4999000,Debit Card,Medan
bc999c60-03ce-4e30-9c5c-c389c03cb5dd,2024-06-10,Xiaomi,Mi 10,1,9999000,9999000,Credit Card,Bandung
59735a4a-fc3d-487b-8682-13166e70a8b1,2024-08-12,Apple,iPhone SE (2020),1,7499000,7499000,E-Wallet,Surabaya
485f1293-3656-482f-bbb5-fdda8463d5cc,2024-03-04,Samsung,Galaxy A52s,3,7999000,23997000,Credit Card,Bandung
3c3dfcf5-aaaa-4fa3-8c6a-90631cb28f2c,2023-11-27,Apple,iPhone XR,1,9999000,9999000,Cash,Bandung
33cdfc5d-4c9d-41f4-8e86-888e96ff241c,2024-06-18,Samsung,Galaxy A42,3,7499000,22497000,Cash,Malang
d48130e5-73bb-4569-8c64-9f900c42644d,2024-02-10,Samsung,Galaxy M31,3,4999000,14997000,Cash,Jakarta
5adad471-81ec-481d-82f6-afc1e3f39c39,2024-04-13,Realme,C15,1,4499000,4499000,Cash,Jakarta
53a31a6a-afe4-43b5-a2b1-64afb8ca9b6f,2024-07-01,Xiaomi,Redmi Note 10,1,3499000,3499000,Cash,Bogor
7c355701-2e45-4893-aed6-ea8be658ae37,2024-05-30,Vivo,V21,2,6499000,12998000,Debit Card,Surabaya
578b3c6d-4d2e-4ce3-943a-34740cfeea1a,2024-09-24,Xiaomi,Redmi Note 9,3,3999000,11997000,E-Wallet,Makassar
5f0c95b6-9c8e-4cc0-a193-d06faaaca2a6,2023-10-25,Apple,iPhone SE (2020),1,7499000,7499000,E-Wallet,Jakarta
c7c07f5f-1fc1-407b-8daf-20b1a5503800,2024-05-14,Realme,C15,1,4499000,4499000,Credit Card,Medan
173fcd63-15cc-4545-ba5a-e32d41c5e163,2023-11-28,Xiaomi,Poco X3 Pro,2,4499000,8998000,Debit Card,Surabaya
71b36837-c440-4eff-9819-4e166c0860c8,2024-05-05,Apple,iPhone 12,3,12999000,38997000,Credit Card,Jakarta
bf0e4f5e-f36a-454a-abe9-2354a628ce84,2024-06-16,Apple,iPhone XR,2,9999000,19998000,Credit Card,Palembang
d4891979-d437-4254-83f5-7b295d79a967,2024-07-16,Xiaomi,Mi 10,1,9999000,9999000,Debit Card,Batam
f33ca33f-f759-4784-80e0-f2f24f5407df,2024-03-21,Apple,iPhone SE (2020),3,7499000,22497000,Cash,Jakarta
b5b5df45-5d16-44b4-bf3e-8c1d9caaaa83,2023-12-18,Xiaomi,Mi 11,2,8999000,17998000,Credit Card,Jakarta
c58607ba-5c1e-4c1b-a2f5-d8b82241a6e4,2024-01-06,Apple,iPhone 11,1,10999000,10999000,Credit Card,Surabaya
5b9cdc96-d793-41cf-bc19-decd0539e950,2024-07-15,Samsung,Galaxy A72,3,8999000,26997000,Debit Card,Bandung
b9c9676e-2c34-4a97-84e4-7ff426934ba5,2024-07-16,Xiaomi,Redmi 9A,3,3999000,11997000,Cash,Surabaya
12dbeb68-56ab-451a-8d3d-cbde0d4156d7,2024-01-08,Xiaomi,Redmi Note 10,1,3499000,3499000,Cash,Bandung
fa69e062-91c7-479a-8e4b-87ddd110e7bb,2024-09-09,Vivo,Y20,2,4499000,8998000,Credit Card,Semarang
c87d13df-6373-4f86-bba7-8482b079fb7a,2023-12-11,Huawei,P30,2,8999000,17998000,Debit Card,Jakarta
e23270b9-2d8d-4813-8dcb-d4b42fa81907,2023-10-19,Huawei,P30,2,8999000,17998000,E-Wallet,Jakarta
f7495b61-e34c-486c-9af7-53f380ef2145,2024-09-22,Huawei,Mate 40,2,10499000,20998000,Cash,Surabaya
0fa19b67-f427-40e4-ae53-f8b2ac7df7fa,2024-01-02,Samsung,Galaxy A52,1,6499000,6499000,E-Wallet,Bandung
5e4fc1cf-1854-458a-838c-b702bbffd040,2023-11-13,Xiaomi,Redmi Note 11,1,4999000,4999000,Credit Card,Surabaya
2a4bb887-e289-406b-a8ae-7f5e47c04fdb,2024-05-12,Samsung,Galaxy A52s,3,7999000,23997000,E-Wallet,Pekanbaru
4f0bd7ad-5077-48d4-8403-593930e9fb98,2023-10-17,Samsung,Galaxy S22,1,12999000,12999000,Credit Card,Jakarta
f4381c59-c2fd-4458-a631-284cfea85110,2023-12-03,Xiaomi,Redmi Note 11,3,4999000,14997000,E-Wallet,Jakarta
73e6fd19-123f-40b3-b4b1-93019ef9a100,2024-09-30,Apple,iPhone XR,3,9999000,29997000,Credit Card,Bandung
36e7dd8e-737d-4028-b380-2ae0c163bd51,2024-03-12,Apple,iPhone 13,2,14999000,29998000,Debit Card,Palembang
e98d157d-5c3f-4644-ab9c-237f8aa56644,2024-06-15,Apple,iPhone 11,2,10999000,21998000,Cash,Jakarta
638d66c3-1894-473b-b29c-3ece18758c8f,2024-04-21,Apple,iPhone 13,2,14999000,29998000,Debit Card,Jakarta
bbb5ee8d-4dc1-4b97-a433-eafc8988d436,2024-01-14,Samsung,Galaxy A52,2,6499000,12998000,Cash,Surabaya
356c2d53-e3aa-41a0-9d23-530185f8c427,2024-03-29,Xiaomi,Redmi Note 10,3,3499000,10497000,Debit Card,Jakarta
83cbfbd6-2b83-4125-8c4f-cb59d7b7714a,2024-02-25,Xiaomi,Poco X3 Pro,3,4499000,13497000,Debit Card,Surabaya
88eda26d-7b77-4dde-80e5-5257cb029a4d,2024-06-28,Apple,iPhone 11,2,10999000,21998000,Debit Card,Jakarta
84220056-e4fc-42f3-bee6-2a5b20b30f01,2024-09-02,Apple,iPhone XS,3,13999000,41997000,Cash,Depok
d177b1f4-6a4e-4ced-b324-8c1f3dc2c9c8,2024-06-02,Apple,iPhone SE (2020),3,7499000,22497000,E-Wallet,Jakarta
95d1f789-f10f-4c5b-aedc-7868f82592c9,2024-05-09,Xiaomi,Redmi Note 10,2,3499000,6998000,Cash,Jakarta
ee70c6da-b0c8-4ff2-a19f-9cbf44cbb393,2023-11-25,Samsung,Galaxy A72,1,8999000,8999000,Cash,Medan
95aefa1f-5ed4-460c-9279-9f57c0ad7088,2024-08-26,Apple,iPhone 13,2,14999000,29998000,Credit Card,Surabaya
94282b67-6f3d-4a50-8fed-1a02cb527eb4,2024-01-26,Xiaomi,Redmi Note 10,3,3499000,10497000,Credit Card,Batam
53a2d177-3959-4de9-be03-435f337eca73,2023-12-12,Vivo,Y20,2,4499000,8998000,E-Wallet,Surabaya
0f78d77c-0e9f-49ca-a458-f5e8a19fc806,2024-04-13,Huawei,P40 Pro,1,11299000,11299000,Debit Card,Surabaya
46b4efbb-bece-435b-864b-3fef8f486d38,2023-12-05,Samsung,Galaxy A72,3,8999000,26997000,Debit Card,Medan
7dd0485a-9d80-487d-a2cd-f37b8f4387d1,2024-02-02,Asus,Zenfone 8,1,10999000,10999000,Debit Card,Balikpapan
60464a42-90b1-49ca-bcc1-c05d67c0511c,2024-01-25,Vivo,X50,1,9999000,9999000,E-Wallet,Jakarta
e64d6177-2ea8-45e9-af6e-97f6485403b6,2024-06-06,Apple,iPhone XR,1,9999000,9999000,E-Wallet,Surabaya
0372b1f0-bc7e-488f-8774-a2943e9c1623,2024-03-20,Oppo,Find X3,2,11499000,22998000,Credit Card,Jakarta
07a9aef4-5f9c-4a4a-8a4d-0fbb0c15a749,2024-02-17,Xiaomi,Mi 11,1,8999000,8999000,Debit Card,Surabaya
4963fcf0-d5d0-438a-9b53-55c5c856a342,2024-10-06,Xiaomi,Redmi Note 10,1,3499000,3499000,Credit Card,Bandung
08197dfc-8aba-4a05-8cdf-001153087d5c,2024-02-28,Apple,iPhone XS,2,13999000,27998000,E-Wallet,Medan
ee2fde13-dfb6-4026-9a91-8483f2738222,2024-04-30,Xiaomi,Redmi Note 11,3,4999000,14997000,Debit Card,Surabaya
065f88eb-5c3c-4d7c-b0de-0b26a0cf7733,2024-08-24,Samsung,Galaxy A52,1,6499000,6499000,E-Wallet,Bogor
8fb32367-d1c7-470f-b818-284b82829e1a,2023-12-14,Apple,iPhone SE (2020),2,7499000,14998000,Credit Card,Surabaya
777ba2ce-bec8-4916-aadc-c03fc7b99965,2024-01-26,Apple,iPhone 12,1,12999000,12999000,Debit Card,Surabaya
b2c7d5e6-5733-43e1-a7e7-7145e647ee9c,2024-04-26,Asus,Zenfone 7,1,9999000,9999000,Cash,Semarang
ffec40b7-654e-432c-8389-b32f947e60a9,2023-10-28,Samsung,Galaxy A32,3,6999000,20997000,Credit Card,Medan
7c7e4e70-68b7-408b-9fc2-3509df3751d3,2024-09-09,Samsung,Galaxy A72,3,8999000,26997000,Credit Card,Bandung
e3e47b80-d70a-4b9d-8c0c-bd153645ca2c,2024-07-13,Vivo,V21,1,6499000,6499000,Cash,Surabaya
57fdf5a0-1fb1-4973-882f-470e16ebd887,2024-01-02,Samsung,Galaxy M21,2,5999000,11998000,E-Wallet,Jakarta
541abd5d-f980-42a4-b626-1bb349229a9a,2024-02-22,Apple,iPhone XS,1,13999000,13999000,E-Wallet,Bekasi
8f6da56d-8a1a-4955-8425-111426eaf95c,2023-10-31,Xiaomi,Mi 11,2,8999000,17998000,Debit Card,Jakarta
3d5843fa-f1b9-481b-b2e8-b48ae23a494a,2024-08-08,Samsung,Galaxy S22,2,12999000,25998000,Cash,Depok
d2f56f5f-4a63-415e-80aa-e8e8ffe68052,2024-05-15,Apple,iPhone 11,2,10999000,21998000,Debit Card,Jakarta
edbb5460-6058-4a78-ae34-1c97f128c29c,2024-02-06,Xiaomi,Redmi Note 10,3,3499000,10497000,Credit Card,Makassar
a0e21aac-10c5-423e-9c55-e5dd87bd6400,2024-01-19,Asus,ROG Phone 5,2,13999000,27998000,Debit Card,Tangerang
0cb4fbd0-e630-4de8-8e2d-bc12f9a04d98,2024-03-01,Xiaomi,Mi 11,2,8999000,17998000,Cash,Surabaya
48f2c0c5-1bbf-40a9-868c-e3982a5ce495,2023-12-29,Xiaomi,Poco X3 Pro,2,4499000,8998000,E-Wallet,Medan
3b775379-b37e-4a2f-b341-b963b2e05cff,2023-11-12,Samsung,Galaxy M21,3,5999000,17997000,Credit Card,Bandung
28b9a580-3b48-4914-8a76-d2fd6a35a793,2024-07-29,Samsung,Galaxy A72,2,8999000,17998000,E-Wallet,Jakarta
c443604f-eea2-4a24-b66d-ac51555b96aa,2024-03-08,Xiaomi,Redmi 9A,2,3999000,7998000,E-Wallet,Bandung
b9e7c519-d8f2-4ee4-9e4f-bf417b820ef0,2023-11-25,Apple,iPhone XR,3,9999000,29997000,E-Wallet,Bandung
0539935b-3ce3-47ed-8b21-cac2bb647329,2023-12-15,Xiaomi,Poco X3 Pro,2,4499000,8998000,Credit Card,Bandung
8082855f-2903-41ce-9009-9a8d319198aa,2024-06-29,Apple,iPhone 12,2,12999000,25998000,Cash,Jakarta
76bfb678-cd8b-4893-a82e-eea486ff1ef2,2024-05-16,Xiaomi,Redmi Note 11,2,4999000,9998000,Debit Card,Surabaya
d60d8366-fa06-4f60-aea3-50e1efa45f19,2023-11-11,Xiaomi,Redmi Note 11,1,4999000,4999000,E-Wallet,Depok
10863f9c-a1b8-477d-91a7-25e0bb308cbb,2024-10-02,Samsung,Galaxy A52,2,6499000,12998000,Cash,Medan
a19c6528-7cd7-42f5-bebc-61776df0f3e3,2024-09-04,Xiaomi,Mi 10,1,9999000,9999000,E-Wallet,Depok
00b5406d-2cfb-493c-8673-cba4a4f6c545,2024-05-04,Xiaomi,Redmi Note 11,1,4999000,4999000,Credit Card,Jakarta
cc083b93-744f-4958-a042-f7faf4b005c6,2024-05-24,Samsung,Galaxy A52s,2,7999000,15998000,Debit Card,Surabaya
913f0a7f-494e-4f96-97f0-59568da35f17,2024-06-24,Xiaomi,Mi 10,3,9999000,29997000,Credit Card,Medan
b908a0fe-39c2-47e7-9d8a-d1b44d678747,2024-06-20,Vivo,Y12,1,3999000,3999000,Debit Card,Jakarta
e8ff1897-fc35-4ff3-8e04-f869dd2f8f5c,2023-12-29,Xiaomi,Poco X3 Pro,3,4499000,13497000,Cash,Surabaya
ad8b9f80-b2a8-44b4-8fb7-6a60001d4a5a,2024-10-04,Xiaomi,Redmi Note 12,2,5999000,11998000,Credit Card,Jakarta
990a1280-d058-4bb8-9421-1595f7b6d250,2024-08-27,Realme,GT Master Edition,2,5999000,11998000,Credit Card,Surabaya
ff40f26a-1382-4256-a057-0227808ef7ce,2023-10-21,Xiaomi,Mi 10,2,9999000,19998000,E-Wallet,Bekasi
31d3ee93-e136-41fc-93db-b074e77a4029,2024-01-20,Apple,iPhone SE (2020),2,7499000,14998000,Debit Card,Depok
976b0a82-ae66-402f-80e1-874e49f98180,2024-01-21,Vivo,V21,1,6499000,6499000,Cash,Jakarta
e7646ff2-b1ad-4fe2-ab8a-ba8972c3a095,2024-07-02,Xiaomi,Redmi Note 12,3,5999000,17997000,Credit Card,Surabaya
d931197e-4a9f-43cf-9d56-6c4fbe0a6255,2024-02-28,Samsung,Galaxy A32,3,6999000,20997000,E-Wallet,Bandung
5c30e2a8-4a9e-4d47-9115-e16cf92f727f,2024-08-22,Samsung,Galaxy A52,3,6499000,19497000,E-Wallet,Medan
162aab17-23d2-4658-a8ab-75491b5bd91a,2024-08-25,Samsung,Galaxy A32,3,6999000,20997000,Debit Card,Bandung
9900db8a-c8ad-457a-b564-481e120b57b3,2024-05-15,Xiaomi,Mi 10,3,9999000,29997000,Credit Card,Jakarta
7c2e3cc6-8ec7-4c63-bb1a-b457e3a21f20,2024-03-27,Xiaomi,Redmi Note 12,1,5999000,5999000,Debit Card,Bekasi
5f24e053-de53-481f-a1c6-d74d10bfdaa0,2024-04-11,Samsung,Galaxy A52s,3,7999000,23997000,Debit Card,Pontianak
a2265138-11ae-4e05-89db-b986479ad7dc,2024-01-22,Xiaomi,Redmi Note 10,1,3499000,3499000,E-Wallet,Jakarta
4884dede-e387-4943-be12-7e44e82c3b66,2024-02-10,Apple,iPhone 13,3,14999000,44997000,Debit Card,Surabaya
472b8259-f250-4527-8fbe-b32623ecefc8,2024-09-20,Xiaomi,Mi 11,3,8999000,26997000,Credit Card,Palembang
0ab1a3b1-ef05-42de-acd1-c8d086cf53b0,2024-02-06,Xiaomi,Redmi Note 10,3,3499000,10497000,Credit Card,Bandung
edd3221b-4c01-42aa-9f6c-ae0f1639379d,2024-08-09,Oppo,Reno 7,2,7499000,14998000,Cash,Medan
2b714a11-808e-4838-8ccd-7e48405894b7,2024-05-02,Oppo,Find X3,3,11499000,34497000,Credit Card,Medan
f41b5468-36c9-4a3d-b742-d76aa62cfbca,2024-01-14,Samsung,Galaxy A52,3,6499000,19497000,Debit Card,Depok
ad629b4e-f27b-498c-8f48-0bd7d5347291,2024-03-18,Xiaomi,Mi 11,1,8999000,8999000,Credit Card,Jakarta
f740923c-c47c-4890-8874-9bfbc6d936aa,2024-05-23,Apple,iPhone XS,3,13999000,41997000,Credit Card,Surabaya
5f35c334-e3a2-4ebd-b3a3-3f6385565654,2024-05-27,Xiaomi,Mi 10,3,9999000,29997000,E-Wallet,Jakarta
d18bb616-d95c-4eac-a7a0-6c979abc1687,2024-10-02,Xiaomi,Redmi 9A,1,3999000,3999000,Debit Card,Medan
2400ee7d-3e23-4a92-b9a3-2b6c2aba5128,2023-12-18,Xiaomi,Redmi 9A,1,3999000,3999000,Debit Card,Jakarta
be176df7-d2b5-4c3c-a1ec-d0593acef317,2024-08-08,Vivo,Y20,1,4499000,4499000,Credit Card,Bandung
f98af53d-d1b1-4df8-be2d-50ce8eefaace,2024-07-31,Xiaomi,Redmi Note 11,1,4999000,4999000,E-Wallet,Makassar
e8eb4aca-ab19-4ddf-bf58-760983f23987,2023-12-19,Xiaomi,Redmi Note 10,1,3499000,3499000,E-Wallet,Surabaya
42414df0-dbc6-4066-ad87-7dc6b0edc814,2024-10-03,Apple,iPhone 13,3,14999000,44997000,Cash,Balikpapan
8c43b315-d4db-4552-9b72-7bda4dc21372,2024-05-17,Samsung,Galaxy A12,3,4499000,13497000,Credit Card,Surabaya
2ee201c0-88c8-4d57-924e-745a68c38914,2023-10-25,Xiaomi,Mi 10,3,9999000,29997000,Cash,Jakarta
8235bdfd-d5b2-4766-aae6-8c8779a35611,2024-07-01,Realme,C12,2,3999000,7998000,E-Wallet,Bekasi
a868d37c-66c6-4cb3-a9c5-690cc2e441b2,2023-12-19,Apple,iPhone 12,2,12999000,25998000,E-Wallet,Bandung
06f24d2f-91f0-4246-94b8-2bff29187031,2024-02-02,Xiaomi,Mi 11,1,8999000,8999000,Debit Card,Surabaya
a3aaafc2-88d3-40a9-8882-ef584d68983c,2023-10-14,Apple,iPhone SE (2020),3,7499000,22497000,E-Wallet,Bandung
839b223c-39e9-4e60-9dd7-bb3c7595db96,2024-07-17,Xiaomi,Mi 11,3,8999000,26997000,E-Wallet,Jakarta
4eab6137-82c9-4906-acc0-786bd92bf34f,2024-07-12,Xiaomi,Redmi Note 12,2,5999000,11998000,E-Wallet,Jakarta
1eb6ebfd-b645-4ef1-a52a-e527cdeb488d,2024-08-16,Apple,iPhone 13,2,14999000,29998000,Credit Card,Jakarta
ef15749e-e388-4a39-a5a5-6d4f2da1acac,2024-01-06,Realme,GT Master Edition,1,5999000,5999000,E-Wallet,Jakarta
139862e7-831b-4e25-bf91-9cb2a3342c55,2024-09-25,Huawei,P40 Pro,2,11299000,22598000,Credit Card,Medan
ad5e2b6b-4bd8-4d67-b723-4f62cc4a7e12,2024-07-24,Samsung,Galaxy M21,3,5999000,17997000,E-Wallet,Medan
cc4bdd47-5273-43fc-8a1c-190b5dd08318,2024-01-06,Xiaomi,Redmi 9A,2,3999000,7998000,Cash,Jakarta
d5ebb7df-3179-4e65-901f-d824c47168c9,2023-12-21,Xiaomi,Mi 10,1,9999000,9999000,E-Wallet,Medan
c2a11b06-1e18-4827-9bca-992fabde9457,2024-09-29,Vivo,V21,1,6499000,6499000,Debit Card,Surabaya
921252fd-3b83-45ef-844c-20e721634300,2024-07-05,Apple,iPhone 12,2,12999000,25998000,Debit Card,Jakarta
178ed3c4-f758-4167-a104-0797e2101c12,2024-06-12,Xiaomi,Mi 11,3,8999000,26997000,Cash,Surabaya
66ebd93f-c771-4484-9183-3e7262c02d1e,2023-10-20,Apple,iPhone XR,2,9999000,19998000,E-Wallet,Malang
82353a65-dabe-48d2-9c07-c8f2b62290ca,2024-03-30,Xiaomi,Poco X3 Pro,1,4499000,4499000,Cash,Jakarta
07b8cfbb-3648-4225-9eaa-7974943b0be0,2024-07-28,Xiaomi,Redmi 9A,1,3999000,3999000,Credit Card,Bandung
563fb57e-cd3f-4876-96e1-52d8de8603ae,2024-07-10,Oppo,Reno 7,1,7499000,7499000,Credit Card,Surabaya
f80828d1-2fba-4a99-87e5-7f5167cd4e32,2024-02-25,Xiaomi,Redmi Note 11,1,4999000,4999000,E-Wallet,Bandung
1dc8a6fc-3d6b-43fc-a541-ced14130c491,2023-11-01,Xiaomi,Poco X3 Pro,2,4499000,8998000,Credit Card,Bekasi
